time,pow_000,pow_001,pow_002,pow_003,pow_004,pow_005,pow_006,ws_000,wd_000,ws_001,wd_001,ws_002,wd_002,ws_003,wd_003,ws_004,wd_004,ws_005,wd_005,ws_006,wd_006
2020-02-17 00:10:00,2044397.875,2013846.750,1908553.625,1920509.125,1949415.875,1951935.250,1937226.875,11.444,235.755,11.062,237.116,10.384,235.979,10.487,236.258,10.604,236.813,10.806,235.927,10.474,236.638
2020-02-17 00:20:00,2037645.826,2011186.607,1938665.467,1920184.313,1836508.300,1884839.581,1879042.232,11.050,235.487,10.946,236.109,10.948,236.454,10.758,236.458,10.202,235.366,10.220,236.692,10.377,235.994
2020-02-17 00:30:00,2008033.069,1998661.928,1919141.245,1938726.990,1902361.889,1892072.744,1831312.668,11.028,236.256,11.001,235.910,10.278,235.998,10.920,235.362,10.659,236.064,10.690,237.927,10.301,235.554
2020-02-17 00:40:00,1957540.406,1856866.808,1749845.672,1937107.014,1925899.901,1856266.787,1850647.390,10.660,237.356,10.012,234.981,10.087,235.757,10.505,236.858,10.902,236.673,10.367,237.517,10.375,237.075
2020-02-17 00:50:00,1932400.808,1710348.157,1585689.045,1796733.273,1865186.020,1736879.612,1709916.511,10.773,234.789,10.096,235.872,9.440,236.673,9.918,237.129,9.983,234.504,9.756,234.670,9.806,235.539
2020-02-17 01:00:00,1936986.153,1763546.543,1482980.381,1616463.948,1517384.413,1513095.993,1739343.790,10.471,235.980,10.240,235.615,9.673,234.076,9.587,236.038,8.837,235.076,9.527,235.130,10.510,236.234
2020-02-17 01:10:00,1718164.751,1751041.643,1498910.990,1510100.769,1563596.321,1492415.987,1559569.218,9.881,234.514,10.092,234.221,9.653,234.283,9.601,233.713,10.194,234.064,9.605,235.231,9.045,236.933
2020-02-17 01:20:00,1529756.784,1616481.079,1545238.922,1400501.314,1522173.347,1402592.445,1393488.303,9.283,232.599,9.379,233.175,9.756,235.312,9.150,234.658,9.514,234.482,9.062,234.973,9.321,234.430
2020-02-17 01:30:00,1453271.150,1475199.133,1506539.299,1314300.790,1366161.359,1192637.594,1285736.129,9.798,234.055,9.264,234.028,9.493,233.689,9.322,233.280,9.015,233.526,8.623,233.900,9.077,234.777
2020-02-17 01:40:00,1483272.107,1412150.138,1373200.288,1362500.521,1342201.175,1215668.877,1223506.517,9.518,232.850,9.532,232.964,9.256,233.058,9.220,233.402,9.378,233.188,9.056,233.866,8.835,234.043
